What is the URL and license information for the CellularComponent mitochondrial matrix?;MATCH (c:CellularComponent {name: "mitochondrial matrix"}) RETURN c.url, c.license
What is the URL, license, and source of the side effect identified 'C0270075'?;MATCH (se:SideEffect {identifier: 'C0270075'}) RETURN se.url, se.license, se.source
What are the names and identifiers of all genes, sorted by their identifier in ascending order?;MATCH (g:Gene) RETURN g.name, g.identifier ORDER BY g.identifier ASC
List the names and chomosomes of genes sorted by their chromosome number in ascending order.;MATCH (g:Gene) RETURN g.name, g.chromosome ORDER BY g.chromosome ASC
Show the names and sources of genes sorted by their name alphabetically in ascending order.;MATCH (g:Gene) RETURN g.name, g.source ORDER BY g.name ASC
How many genes whose name starts with 'BRCA'?;MATCH (g:Gene) WHERE g.name STARTS WITH 'BRCA' RETURN COUNT(g)
Which genes have descriptions that contain the term 'tumor suppressor'? List their names and descriptions.;MATCH (g:Gene) WHERE g.description CONTAINS 'tumor suppressor' RETURN g.name, g.description
How many genes with descriptions that end with 'factor'.;MATCH (g:Gene) WHERE g.description ENDS WITH 'factor' RETURN COUNT(g)
What is the identifier of gene BRCA1?;MATCH (n:Gene {name: 'BRCA1'}) RETURN n.identifier
What is the identifier of the disease alzheimer's disease?;MATCH (n:Disease) WHERE n.name = "Alzheimer's disease" RETURN n.identifier
How many sources for all pathways?;MATCH (n:Pathway) RETURN COUNT(n.source)
Skip the first 10 genes and list 5 gene names.  ;MATCH (n:Gene) RETURN n.name SKIP 10 LIMIT 5
How many compounds have a non-null inchi property?;MATCH (n:Compound) WHERE n.inchi IS NOT NULL RETURN COUNT(n)
Can you provide the identifiers for the symptoms headache?;MATCH (n:Symptom) WHERE n.name = 'Headache' RETURN n.identifier
Which molecular functions are in alphabetical order by name? List the names of molecular functions.;MATCH (n:MolecularFunction) RETURN n.name ORDER BY n.name ASC
How many pathways in the database have a non-empty source property?;MATCH (n:Pathway) WHERE n.source IS NOT NULL RETURN COUNT(n)
What is the total number of diseases with the license 'CC BY 3.0'?;MATCH (n:Disease) WHERE n.license = 'CC BY 3.0' RETURN COUNT(n)
Fetch symptoms  ordered by their names in ascending order!;MATCH (n:Symptom) RETURN n.name ORDER BY n.name ASC
What is the total number of compounds with a defined identifier property?;MATCH (n:Compound) WHERE n.identifier IS NOT NULL RETURN COUNT(n.identifier)
What is the minimum identifier property value among all genes?;MATCH (n:Gene) RETURN MIN(n.identifier)
What is the maximum identifier property value among all genes?;MATCH (n:Gene) RETURN MAX(n.identifier)
Can you list the licenses for diseases and the count of diseases under each license?;MATCH (n:Disease) WITH n.license AS license, COUNT(n) AS count RETURN license, count
Group genes by their chromosome and provide the chromosome name along with the count of genes for each group.;MATCH (n:Gene) WITH n.chromosome AS chromosome, COUNT(n) AS count RETURN chromosome, count
Can you list the sources of genes and the number of gene identifiers associated with each source?;MATCH (n:Gene) WITH n.source AS source, COUNT(n.identifier) AS count_identifier RETURN source, count_identifier
Find the Gene where the description contains 'kinas', can you provide the names of genes?;MATCH (n:Gene) WHERE n.description CONTAINS 'kinas' RETURN n.name
How many pathways in the database have names that begin with 'Ox'?;MATCH (n:Pathway) WHERE n.name STARTS WITH 'Ox' RETURN COUNT(n)
Fetch all Disease nodes where their name ends with 'itis'. Give the names of diseases.;MATCH (n:Disease) WHERE n.name ENDS WITH 'itis' RETURN n.name
Can you list the identifiers for molecular functions with names that begin with 'type' and end with 'binding'?;MATCH (n:MolecularFunction) WHERE n.name STARTS WITH 'type' AND n.name ENDS WITH 'binding' RETURN n.identifier
How many symptoms where the source contains 'clinical'?;MATCH (n:Symptom) WHERE n.source CONTAINS 'clinical' RETURN COUNT(n)
What pharmacologic class names are associated with a class_type that begins with 'Mechanism'?;MATCH (n:PharmacologicClass) WHERE n.class_type STARTS WITH 'Mechanism' RETURN n.name
How many genes where their identifier is larger than 1000 and lower than 2000?;MATCH (n:Gene) WHERE n.identifier > 1000 AND n.identifier < 2000 RETURN COUNT(n)
Retrieve the names of symptoms where the name contains 'Fever'.;MATCH (n:Symptom) WHERE n.name CONTAINS 'Fever' RETURN n.name
How many molecular functions that have the url recorded!;MATCH (n:MolecularFunction) WHERE EXISTS(n.url) RETURN COUNT(n)
Find identifiers of  anatomies Lung.;MATCH (n:Anatomy {name: 'lung'}) RETURN n.identifier
Find all diseases whose names contain the term 'lung'. List the names of diseases.;MATCH (d:Disease) WHERE d.name CONTAINS 'lung' RETURN d.name
Retrieve the names of diseases sorted alphabetically.;MATCH (d:Disease) RETURN d.name ORDER BY d.name ASC
Which symptoms whose name containing the term 'Pain'? List the names of symptoms. ;MATCH (s:Symptom) WHERE s.name CONTAINS 'Pain' RETURN s.name
List the names of cellular components whose names start with 'cyto', sorted alphabetically.;MATCH (cc:CellularComponent) WHERE cc.name STARTS WITH 'cyto' RETURN cc.name ORDER BY cc.name ASC
Find all compounds whose names end with 'zole'. Give the names of compounds.;MATCH (c:Compound) WHERE c.name ENDS WITH 'zole' RETURN c.name
List the names of pathways with 'cell' in their names.;MATCH (pw:Pathway) WHERE pw.name =~ '.*cell.*' RETURN pw.name
Which compounds do not have a recorded license?;MATCH (c:Compound) WHERE NOT EXISTS(c.license) RETURN c.name
Find all anatomies whose names start with 'he'. List the names of anatomies. ;MATCH (a:Anatomy) WHERE a.name STARTS WITH 'he' RETURN a.name
Retrieve all details about the gene BRCA1.;MATCH (g:Gene {name: 'BRCA1'}) RETURN g
Find the name and license of the pathway apoptosis.;MATCH (p:Pathway {name: 'Apoptosis'}) RETURN p.name, p.license
Get the URL of the disease Gestational diabetes.;MATCH (d:Disease {name: 'gestational diabetes'}) RETURN d.url
What is the source of the compound trifluridine?;MATCH (c:Compound {name: 'Trifluridine'}) RETURN c.source
List the identifiers of the molecular function ATPase Inhibitor Activity.;MATCH (mf:MolecularFunction {name: 'ATPase inhibitor activity'}) RETURN mf.identifier
Find the license and source of the side effect nausea.;MATCH (se:SideEffect {name: 'Nausea'}) RETURN se.license, se.source
What is the identifier of the cellular component Chromatoid body?;MATCH (cc:CellularComponent {name: 'chromatoid body'}) RETURN cc.identifier
Retrieve the mesh ID for the anatomy Heart.;MATCH (a:Anatomy {name: 'heart'}) RETURN a.mesh_id
Get the license and class type for the pharmacologic class neuraminidase inhibitors.;MATCH (pc:PharmacologicClass {name: 'Neuraminidase Inhibitors'}) RETURN pc.license, pc.class_type
Retrieval the node of symptom named as fatigue.;MATCH (s:Symptom {name: 'Fatigue'}) RETURN s
Retrieve the URL for the biological process 'negative regulation of intracellular transport'.;MATCH (bp:BiologicalProcess {name: 'negative regulation of intracellular transport'}) RETURN bp.url
What is the license and URL of the compound ibuprofen?;MATCH (c:Compound {name: 'Ibuprofen'}) RETURN c.license, c.url
Find the chromosome and source for the gene TP53.;MATCH (g:Gene {name: 'TP53'}) RETURN g.chromosome, g.source
List the name and identifier of the disease Pancreatic Cancer.;MATCH (d:Disease {name: 'pancreatic cancer'}) RETURN d.name, d.identifier
Get the license and URL for the cellular component node of ranvier.;MATCH (cc:CellularComponent {name: 'node of Ranvier'}) RETURN cc.license, cc.url
What is the source of the pathway metabolism?;MATCH (p:Pathway {name: 'Metabolism'}) RETURN p.source
What is the description of the gene EGFR?;MATCH (g:Gene {name: 'EGFR'}) RETURN g.description
List the license and identifier of the anatomy LUNG.;MATCH (a:Anatomy {name: 'lung'}) RETURN a.license, a.identifier
Find the source and license of the molecular function cadmium ion binding.;MATCH (mf:MolecularFunction {name: 'cadmium ion binding'}) RETURN mf.source, mf.license
What is the identifier of the biological process mRNA pseudouridine synthesis?;MATCH (bp:BiologicalProcess {name: 'mRNA pseudouridine synthesis'}) RETURN bp.identifier
What are the names of all molecular functions in the graph?;MATCH (mf:MolecularFunction) RETURN mf.name
List names and licenses of all pathways.;MATCH (pw:Pathway) RETURN pw.name, pw.license
Which anatomies have a BTO ID starting with 'BTO:0001'? Give the names and BTO IDs of anatomies. ;MATCH (a:Anatomy) WHERE a.bto_id STARTS WITH 'BTO:0001' RETURN a.name, a.bto_id
Retrieve the names of pharmacologic classes sorted ascending alphabetically.;MATCH (pc:PharmacologicClass) RETURN pc.name ORDER BY pc.name ASC
Find diseases containing the term 'syndrome' in their name. Give the names of diseases. ;MATCH (d:Disease) WHERE d.name CONTAINS 'syndrome' RETURN d.name
How many compounds exist in the graph?;MATCH (c:Compound) RETURN COUNT(c) AS compoundCount
List the names of all cellular components where the license is not NULL.;MATCH (cc:CellularComponent) WHERE cc.license IS NOT NULL RETURN cc.name
Retrieve the names of symptoms whose name ends with 'Disorders'.;MATCH (s:Symptom) WHERE s.name ENDS WITH 'Disorders' RETURN s.name
List the names of all side effects?;MATCH (se:SideEffect) RETURN se.name
How many genes have identifiers greater than 1000?;MATCH (g:Gene) WHERE g.identifier > 1000 RETURN COUNT(g) AS geneCount
Retrieve the names of anatomies sorted by their name in descending order.;MATCH (a:Anatomy) RETURN a.name ORDER BY a.name DESC
How many diseases whose name contains 'cancer' ?;MATCH (d:Disease) WHERE d.name contains 'cancer' RETURN count(d)
What are the distinct licenses for compounds in the graph?;MATCH (c:Compound) RETURN DISTINCT c.license
What is the maximum identifier among all side effects?;MATCH (se:SideEffect) RETURN MAX(se.identifier) AS maxIdentifier
Find all genes described with the term 'oncogene'. Give the names and descriptions of genes. ;MATCH (g:Gene) WHERE g.description CONTAINS 'oncogene' RETURN g.name, g.description
Retrieve the names of pharmacologic classes with a class type of 'Physiologic Effect'.;MATCH (pc:PharmacologicClass) WHERE pc.class_type = 'Physiologic Effect' RETURN pc.name
How many diseases are present with non-null URL values?;MATCH (d:Disease) WHERE d.url IS NOT NULL RETURN COUNT(d) AS diseaseCount
Retrieve all symptoms whose license is not NULL. List the names and licenses of symptoms.;MATCH (s:Symptom) WHERE s.license IS NOT NULL RETURN s.name, s.license
Find the minimum identifier value for all anatomy nodes.;MATCH (a:Anatomy) RETURN MIN(a.identifier) AS minIdentifier
How many side effects have unique sources?;MATCH (se:SideEffect) RETURN COUNT(DISTINCT se.source) AS uniqueSources
Retrieve the URL and name of all pharmacologic classes.;MATCH (pc:PharmacologicClass) RETURN pc.name, pc.url
What is the total number of molecular functions?;MATCH (mf:MolecularFunction) RETURN COUNT(mf) AS totalMolecularFunctions
Find the names of all cellular components where the name contains 'membrane'.;MATCH (cc:CellularComponent) WHERE cc.name CONTAINS 'membrane' RETURN cc.name
List names and identifiers of all diseases sorted by their identifier in ascending order.;MATCH (d:Disease) RETURN d.name, d.identifier ORDER BY d.identifier ASC
What is the maximum chromosome number among genes?;MATCH (g:Gene) RETURN MAX(toInteger(g.chromosome)) AS maxChromosome
Retrieve the name of compounds whose InChI keys are NULL.;MATCH (c:Compound) WHERE c.inchikey IS NULL RETURN c.name
How many unique licenses exist among all nodes?;MATCH (n) RETURN COUNT(DISTINCT n.license) AS uniqueLicenses
Retrieve the names of diseases whose names contain both 'disease' and 'chronic'.;MATCH (d:Disease) WHERE d.name CONTAINS 'chronic' AND d.name CONTAINS 'disease' RETURN d.name
What are the distinct URLs for all side effects?;MATCH (se:SideEffect) RETURN DISTINCT se.url
List the names of all pharmacologic classes whose class type is 'Mechanism of Action'.;MATCH (pc:PharmacologicClass) WHERE pc.class_type = 'Mechanism of Action' RETURN pc.name
Retrieve all anatomy nodes whose names start with 'brain'. Give the names of anatomies. ;MATCH (a:Anatomy) WHERE a.name STARTS WITH 'brain' RETURN a.name
What is the total count of diseases with a NULL identifier?;MATCH (d:Disease) WHERE d.identifier IS NULL RETURN COUNT(d) AS nullIdentifierCount
Which biological processes does Gene NMU participate in? List names of biological processes.;MATCH (g:Gene {name: 'NMU'})-[:PARTICIPATES_GpBP]->(bp:BiologicalProcess) RETURN bp.name
What diseases are associated with Gene ERBB2? Give names of diseases.;MATCH (g:Gene {name: 'ERBB2'})<-[:ASSOCIATES_DaG]-(d:Disease) RETURN d.name
Which genes are associated with Disease 'bile duct cancer'? List names of genes.;MATCH (d:Disease {name: 'bile duct cancer'})-[:ASSOCIATES_DaG]->(g:Gene) RETURN g.name
What symptoms are presented in Disease Crohn's Disease? List names of symptoms.;MATCH (d:Disease {name: "Crohn's disease"})-[:PRESENTS_DpS]->(s:Symptom) RETURN s.name
What diseases does Compound captopril treat? Give names of diseases.;MATCH (c:Compound {name: 'Captopril'})-[:TREATS_CtD]->(d:Disease) RETURN d.name
What are the side effects caused by Compound IBUPROFEN? List names of side effects.;MATCH (c:Compound {name: 'Ibuprofen'})-[:CAUSES_CcSE]->(se:SideEffect) RETURN se.name
Which genes participate in Pathway opsins? Give names of genes.;MATCH (pw:Pathway {name: 'Opsins'})<-[:PARTICIPATES_GpPW]-(g:Gene) RETURN g.name
Which compounds are included in Pharmacologic Class vinca alkaloids? Give names of compounds.;MATCH (pc:PharmacologicClass {name: 'Vinca Alkaloids'})-[:INCLUDES_PCiC]->(c:Compound) RETURN c.name
Which genes are expressed in Anatomy 'skin epidermis'? List names of genes.;MATCH (a:Anatomy {name: 'skin epidermis'})-[:EXPRESSES_AeG]->(g:Gene) RETURN g.name
What diseases present Symptom diarrhea? List names of diseases.;MATCH (s:Symptom {name: 'Diarrhea'})<-[:PRESENTS_DpS]-(d:Disease) RETURN d.name
What are the names of genes participate in Cellular Component DNA polymerase complex? List names of the genes.;MATCH (cc:CellularComponent {name: 'DNA polymerase complex'})<-[:PARTICIPATES_GpCC]-(g:Gene) RETURN g.name
What compounds cause Side Effect headache? List names of compounds.;MATCH (se:SideEffect {name: 'Headache'})<-[:CAUSES_CcSE]-(c:Compound) RETURN c.name
Which diseases are related to Gene BLVRA through the UPREGULATES relationship? Give names of diseases.;MATCH (g:Gene {name: 'BLVRA'})<-[:UPREGULATES_DuG]-(d:Disease) RETURN d.name
What are the names of genes are linked to the disease alzheimer's disease? Give names of genes in gene's identifier ascending order.;MATCH (d:Disease {name: "Alzheimer's disease"})-[:ASSOCIATES_DaG]->(g:Gene) RETURN g.name ORDER BY g.identifier ASC
